"Index" "CSC.Open" "CSC.High" "CSC.Low" "CSC.Close" "CSC.Volume" "CSC.Adjusted"
2014-03-18 62.419998 63.490002 62.25 63.220001 1464000 61.653897
2014-03-19 63.240002 63.529999 62.419998 63.240002 1313900 61.673402
2014-03-20 62.919998 63.68 62.77 63.349998 935400 61.97668
2014-03-21 63.639999 63.790001 63.02 63.16 1442900 61.7908
2014-03-24 63.209999 63.380001 61.73 62.139999 922300 60.792912
2014-03-25 62.450001 62.59 61.540001 61.919998 800600 60.57768
2014-03-26 62.099998 62.32 60.82 60.82 764500 59.501527
2014-03-27 60.880001 60.919998 60 60.099998 1265300 58.797135
2014-03-28 60.209999 61.049999 60.049999 60.290001 827800 58.983018
2014-03-31 60.549999 61.189999 60.48 60.82 1215500 59.501527
2014-04-01 61.009998 61.779999 60.82 61.5 1409900 60.166786
2014-04-02 61.509998 62 61.490002 61.799999 1342900 60.460282
2014-04-03 61.66 62.189999 61.080002 61.380001 708200 60.049389
2014-04-04 61.650002 61.849998 60.400002 60.82 998500 59.501527
2014-04-07 60.77 60.919998 59.259998 59.650002 870900 58.356893
2014-04-08 59.669998 60.380001 59.290001 60.16 929100 58.855835
2014-04-09 60.380001 60.849998 60.009998 60.650002 674300 59.335214
2014-04-10 60.630001 60.73 58.869999 58.93 814400 57.6525
2014-04-11 58.799999 59.299999 57.91 58.049999 829000 56.791576
2014-04-14 58.279999 59.66 58.209999 59.59 1189900 58.298192
2014-04-15 59.830002 60.279999 58.970001 60.060001 1111900 58.758005
2014-04-16 60.43 61.200001 60.330002 61.18 991700 59.853724
2014-04-17 61 61.27 60.549999 61.080002 792200 59.755893
2014-04-21 60.610001 61.16 60.610001 60.849998 427100 59.530876
2014-04-22 60.709999 61.029999 60.48 60.709999 713800 59.393911
2014-04-23 60.709999 60.91 59.91 59.93 784700 58.630822
2014-04-24 60.310001 60.310001 59.169998 59.259998 990300 57.975344
2014-04-25 59 59.02 58.240002 58.25 997700 56.987241
2014-04-28 58.869999 59 57.459999 58.16 915100 56.899192
2014-04-29 58.43 58.720001 57.919998 58.59 865300 57.31987
2014-04-30 58.400002 59.25 58.290001 59.18 744000 57.89708
2014-05-01 59.110001 59.82 58.650002 59.349998 754000 58.063393
2014-05-02 59.34 59.849998 59.27 59.34 364400 58.053612
2014-05-05 59.220001 59.5 58.630001 59.389999 491100 58.102527
2014-05-06 59.419998 59.419998 58.419998 58.529999 702600 57.26117
2014-05-07 58.57 58.84 57.529999 58.02 883100 56.762227
2014-05-08 57.970001 58.709999 57.700001 58.040001 1281300 56.781794
2014-05-09 58.709999 64.720001 58.029999 62.389999 5714800 61.037492
2014-05-12 62.439999 62.650002 61.91 62.130001 1445900 60.78313
2014-05-13 61.759998 62.290001 61.529999 61.650002 1332700 60.313536
2014-05-14 61.549999 61.669998 61.09 61.16 829000 59.834157
2014-05-15 61.099998 61.369999 60.57 61.23 1243300 59.902639
2014-05-16 60.84 61.049999 60.220001 60.900002 888300 59.579795
2014-05-19 60.639999 61.540001 60.380001 61.389999 586600 60.05917
2014-05-20 61.380001 61.84 61.110001 61.139999 1119200 59.81459
2014-05-21 61.189999 61.360001 60.790001 61.18 493300 59.853724
2014-05-22 61.169998 61.48 60.830002 61.099998 464300 59.775456
2014-05-23 61.310001 61.759998 61.130001 61.639999 521700 60.303751
2014-05-27 61.830002 62.34 61.82 62.099998 1116800 60.753778
2014-05-28 62 62.34 62 62.060001 960400 60.714648
2014-05-29 62.189999 62.91 62.130001 62.560001 1835000 61.203809
2014-05-30 62.509998 62.950001 62.419998 62.889999 1255100 61.526653
2014-06-02 62.790001 62.990002 61.900002 62.380001 1124800 61.027711
2014-06-03 62.41 62.790001 62.139999 62.75 1122400 61.389689
2014-06-04 62.509998 63.290001 62.259998 63.080002 924900 61.712537
2014-06-05 63.23 63.360001 62.950001 63.150002 600400 61.781019
2014-06-06 63.279999 63.740002 63.220001 63.580002 861000 62.201697
2014-06-09 63.599998 63.970001 63.389999 63.689999 1293800 62.30931
2014-06-10 63.389999 63.77 63.389999 63.639999 1005600 62.486047
2014-06-11 63.509998 63.73 63.27 63.59 1169700 62.436954
2014-06-12 63.389999 63.5 62.639999 62.790001 1095000 61.651461
2014-06-13 62.860001 63.5 62.82 63.279999 816300 62.132574
2014-06-16 63.259998 63.459999 62.849998 63.060001 633000 61.916565
2014-06-17 63.169998 63.75 63.130001 63.549999 585800 62.397678
2014-06-18 63.450001 63.709999 63.18 63.630001 654700 62.47623
