"Index" "NOB.Open" "NOB.High" "NOB.Low" "NOB.Close" "NOB.Volume" "NOB.Adjusted"
2014-09-24 0.02 0.02 0.02 0.02 1e+05 0.02
2014-09-25 0.02 0.02 0.02 0.02 0 0.02
2014-09-26 0.02 0.02 0.02 0.02 0 0.02
2014-09-29 0.015 0.015 0.015 0.015 50000 0.015
2014-09-30 0.015 0.015 0.015 0.015 180000 0.015
2014-10-01 0.015 0.015 0.015 0.015 33700 0.015
2014-10-02 0.01 0.01 0.01 0.01 327000 0.01
2014-10-03 0.01 0.01 0.01 0.01 0 0.01
2014-10-06 0.01 0.01 0.01 0.01 0 0.01
2014-10-07 0.01 0.01 0.01 0.01 0 0.01
2014-10-08 0.01 0.01 0.01 0.01 1e+05 0.01
2014-10-09 0.01 0.01 0.01 0.01 3e+05 0.01
2014-10-10 0.01 0.01 0.01 0.01 0 0.01
2014-10-13 0.01 0.01 0.01 0.01 0 0.01
2014-10-14 0.01 0.015 0.01 0.015 70000 0.015
2014-10-15 0.015 0.015 0.015 0.015 0 0.015
2014-10-16 0.015 0.015 0.015 0.015 0 0.015
2014-10-17 0.01 0.01 0.01 0.01 102000 0.01
2014-10-20 0.01 0.01 0.01 0.01 75000 0.01
2014-10-21 0.015 0.015 0.015 0.015 60000 0.015
2014-10-22 0.015 0.015 0.015 0.015 0 0.015
2014-10-23 0.015 0.015 0.015 0.015 30000 0.015
2014-10-24 0.015 0.015 0.015 0.015 0 0.015
2014-10-27 0.015 0.015 0.015 0.015 0 0.015
2014-10-28 0.01 0.01 0.005 0.01 55000 0.01
2014-10-29 0.01 0.015 0.01 0.015 50000 0.015
2014-10-30 0.015 0.015 0.015 0.015 0 0.015
2014-10-31 0.015 0.015 0.015 0.015 0 0.015
2014-11-03 0.015 0.015 0.015 0.015 0 0.015
2014-11-04 0.015 0.015 0.015 0.015 0 0.015
2014-11-05 0.015 0.015 0.015 0.015 0 0.015
2014-11-06 0.015 0.015 0.015 0.015 0 0.015
