"Index" "BH.Open" "BH.High" "BH.Low" "BH.Close" "BH.Volume" "BH.Adjusted"
2014-12-12 371.690002 374.320007 367.630005 371.109985 4000 371.109985
2014-12-15 371.380005 373.730011 356.450012 359.26001 11400 359.26001
2014-12-16 346.200012 366.730011 344.5 354.940002 10500 354.940002
2014-12-17 354.5 360.399994 351.220001 360.399994 6000 360.399994
2014-12-18 363.299988 374.190002 359.799988 370.160004 14400 370.160004
2014-12-19 367.25 372.350006 361.040009 366.26001 17500 366.26001
2014-12-22 365.5 367 360.01001 366.519989 13100 366.519989
2014-12-23 367 377 362.209991 375.130005 8400 375.130005
2014-12-24 377 380 371.779999 373.440002 6600 373.440002
2014-12-26 375 389.970001 374.619995 389.970001 8100 389.970001
2014-12-29 388.929993 392 383 387.399994 8000 387.399994
2014-12-30 387.809998 392 385.359985 391.51001 6600 391.51001
2014-12-31 391.470001 403 391.470001 399.51001 13500 399.51001
2015-01-02 400.5 406.98999 400 403.01001 15000 403.01001
2015-01-05 400.809998 412 400.809998 405.839996 14600 405.839996
2015-01-06 407.850006 412.660004 394.850006 394.869995 37800 394.869995
2015-01-07 397.51001 408.799988 397.51001 408.630005 27300 408.630005
2015-01-08 411.410004 416.269989 402.440002 408.359985 17800 408.359985
2015-01-09 409.190002 410.98999 397.100006 400 31100 400
2015-01-12 398.809998 409.480011 398.809998 409.450012 14200 409.450012
2015-01-13 411 423.399994 410.040009 415.910004 20900 415.910004
2015-01-14 415 416.529999 409.670013 413.690002 10900 413.690002
2015-01-15 413.890015 418.640015 409.910004 413.209991 12700 413.209991
2015-01-16 413.51001 417.980011 413.23999 416.640015 5400 416.640015
2015-01-20 417.410004 424.649994 415.799988 419.549988 4800 419.549988
2015-01-21 418.859985 422.440002 415.049988 420.029999 9900 420.029999
2015-01-22 424.5 427.589996 420 427.589996 11500 427.589996
2015-01-23 427 438.809998 422.049988 433 9500 433
2015-01-26 433.440002 434.559998 429.579987 433.359985 5700 433.359985
2015-01-27 428.670013 434.98999 426.450012 429.420013 6300 429.420013
2015-01-28 433.23999 433.459991 420.700012 425.149994 4300 425.149994
2015-01-29 425.149994 429.890015 417.149994 428.450012 6500 428.450012
2015-01-30 423.670013 433.899994 413.970001 413.970001 14000 413.970001
2015-02-02 413.609985 414.910004 405.76001 412.48999 8700 412.48999
2015-02-03 412.98999 419.829987 412.98999 416.320007 6900 416.320007
2015-02-04 415.980011 424.380005 412.040009 413.149994 9600 413.149994
2015-02-05 413.51001 421 413.51001 419.890015 3400 419.890015
2015-02-06 418.609985 423.98999 415 418.220001 4900 418.220001
2015-02-09 414.529999 418.140015 413.450012 413.450012 14200 413.450012
2015-02-10 414.970001 418.980011 414.970001 417.589996 4300 417.589996
2015-02-11 419.799988 419.899994 415 416.440002 5200 416.440002
2015-02-12 419.720001 421.410004 415.049988 417.959991 6800 417.959991
2015-02-13 416.730011 419.799988 415 416.410004 2200 416.410004
2015-02-17 416.309998 419.600006 415.019989 415.809998 3500 415.809998
2015-02-18 416.709991 424.959991 416.410004 424.119995 7600 424.119995
2015-02-19 423.799988 432.630005 418.899994 430.640015 7900 430.640015
2015-02-20 428.980011 433 420.950012 433 4500 433
2015-02-23 430.309998 433 417.100006 422.01001 9000 422.01001
2015-02-24 422.140015 433.899994 422.140015 433.899994 12300 433.899994
2015-02-25 432.339996 437.48999 430.019989 433.5 4900 433.5
2015-02-26 434.579987 440 434.079987 440 2200 440
2015-02-27 437.76001 439.589996 435.109985 435.209991 2600 435.209991
2015-03-02 436.339996 440 435 436.730011 3200 436.730011
2015-03-03 434.339996 440 430.01001 437.76001 4800 437.76001
2015-03-04 437.299988 440 418.829987 430 9000 430
2015-03-05 432.649994 434.98999 425.01001 433.410004 4800 433.410004
2015-03-06 430.149994 434.5 426.040009 427 5700 427
2015-03-09 425.619995 432 425.619995 431.410004 3300 431.410004
2015-03-10 426.619995 430.5 417.029999 418.25 9000 418.25
2015-03-11 417.059998 424.48999 415.420013 417.149994 6100 417.149994
2015-03-12 420.589996 424.5 416.600006 424.5 5800 424.5
2015-03-13 422.769989 422.769989 418.429993 422.48999 3900 422.48999
2015-03-16 422.679993 423.859985 418.200012 418.200012 7900 418.200012
2015-03-17 421.019989 423.190002 418.440002 422.940002 4500 422.940002
2015-03-18 420.980011 424.980011 415 423.950012 6600 423.950012
