"Index" "R6.Open" "R6.High" "R6.Low" "R6.Close" "R6.Volume" "R6.Adjusted"
2014-10-29 427.32 427.32 427.32 427.32 0 427.32
2014-10-30 430.53 430.53 430.53 430.53 0 430.53
2014-10-31 434.57 434.57 434.57 434.57 0 434.57
2014-11-03 436.16 436.16 436.16 436.16 0 436.16
2014-11-04 433.42 433.42 433.42 433.42 0 433.42
2014-11-05 434.85 434.85 434.85 434.85 0 434.85
2014-11-06 432.72 432.72 432.72 432.72 0 432.72
2014-11-07 430.57 430.57 430.57 430.57 0 430.57
2014-11-10 429.9 429.9 429.9 429.9 0 429.9
2014-11-11 428.2 428.2 428.2 428.2 0 428.2
2014-11-12 423.13 423.13 423.13 423.13 0 423.13
2014-11-13 423.19 423.19 423.19 423.19 0 423.19
2014-11-14 419.6 419.6 419.6 419.6 0 419.6
2014-11-17 419.6 419.6 419.6 419.6 0 419.6
2014-11-18 420.82 420.82 420.82 420.82 0 420.82
2014-11-19 426.63 426.63 426.63 426.63 0 426.63
2014-11-20 427.63 427.63 427.63 427.63 0 427.63
2014-11-21 431.46 431.46 431.46 431.46 0 431.46
2014-11-24 431.2 431.2 431.2 431.2 0 431.2
2014-11-25 429.81 429.81 429.81 429.81 0 429.81
2014-11-26 431.56 431.56 431.56 431.56 0 431.56
2014-11-27 431.9 431.9 431.9 431.9 0 431.9
2014-11-28 427.46 427.46 427.46 427.46 0 427.46
2014-12-01 419.92 419.92 419.92 419.92 0 419.92
2014-12-02 416.32 416.32 416.32 416.32 0 416.32
2014-12-03 417.33 417.33 417.33 417.33 0 417.33
2014-12-04 414.61 414.61 414.61 414.61 0 414.61
2014-12-05 418.44 418.44 418.44 418.44 0 418.44
2014-12-08 415.43 415.43 415.43 415.43 0 415.43
2014-12-09 409.69 409.69 409.69 409.69 0 409.69
2014-12-10 400.66 400.66 400.66 400.66 0 400.66
2014-12-11 403.74 403.74 403.74 403.74 0 403.74
2014-12-12 403.74 403.74 403.74 403.74 0 403.74
2014-12-15 390.55 390.55 390.55 390.55 0 390.55
2014-12-16 389.67 389.67 389.67 389.67 0 389.67
2014-12-17 397.04 397.04 397.04 397.04 0 397.04
2014-12-18 410.82 410.82 410.82 410.82 0 410.82
