"Index" "XSC.Open" "XSC.High" "XSC.Low" "XSC.Close" "XSC.Volume" "XSC.Adjusted"
2014-11-06 48.115 48.115 48.115 48.115 0 48.115
2014-11-07 48.59 48.59 48.59 48.59 0 48.59
2014-11-10 47.41 47.41 47.41 47.41 0 47.41
2014-11-11 49.01 49.01 49.01 49.01 0 49.01
2014-11-12 48.56 48.56 48.56 48.56 0 48.56
2014-11-13 49.2 49.2 49.2 49.2 0 49.2
2014-11-14 49.055 49.055 49.055 49.055 0 49.055
2014-11-17 46.405 46.405 46.405 46.405 0 46.405
2014-11-18 47.35 47.35 47.35 47.35 0 47.35
2014-11-19 46.575 46.575 46.575 46.575 0 46.575
2014-11-20 45.545 45.545 45.545 45.545 0 45.545
2014-11-21 45.84 45.84 45.84 45.84 0 45.84
2014-11-24 45.68 45.68 45.68 45.68 0 45.68
2014-11-25 45.785 45.785 45.785 45.785 0 45.785
2014-11-26 45.625 45.625 45.625 45.625 0 45.625
2014-11-27 45.5 45.5 45.5 45.5 0 45.5
2014-11-28 46.21 46.21 46.21 46.21 0 46.21
2014-12-01 46.01 46.01 46.01 46.01 0 46.01
2014-12-02 46.175 46.175 46.175 46.175 0 46.175
2014-12-03 46.37 46.37 46.37 46.37 0 46.37
2014-12-04 46.465 46.465 46.465 46.465 0 46.465
2014-12-05 45.785 45.785 45.785 45.785 0 45.785
2014-12-08 46.245 46.245 46.245 46.245 0 46.245
2014-12-09 47.035 47.035 47.035 47.035 0 47.035
2014-12-10 45.615 45.615 45.615 45.615 0 45.615
2014-12-11 45.36 45.36 45.36 45.36 0 45.36
2014-12-12 45.625 45.625 45.625 45.625 0 45.625
2014-12-15 45.16 45.16 45.16 45.16 0 45.16
2014-12-16 44.835 44.835 44.835 44.835 0 44.835
2014-12-17 44.83 44.83 44.83 44.83 0 44.83
2014-12-18 46.315 46.315 46.315 46.315 0 46.315
2014-12-19 47.245 47.245 47.245 47.245 0 47.245
2014-12-22 47.515 47.515 47.515 47.515 0 47.515
2014-12-23 46.605 46.605 46.605 46.605 0 46.605
2014-12-24 46.605 46.605 46.605 46.605 0 46.605
2014-12-25 46.605 46.605 46.605 46.605 0 46.605
2014-12-26 46.605 46.605 46.605 46.605 0 46.605
2014-12-29 47.705 47.705 47.705 47.705 0 47.705
2014-12-30 47.17 47.17 46.67 46.67 0 46.67
2014-12-31 46.67 46.67 46.67 46.67 0 46.67
2015-01-01 46.67 46.67 46.67 46.67 0 46.67
2015-01-02 46.755 46.755 46.755 46.755 0 46.755
2015-01-05 47.185 47.185 47.185 47.185 0 47.185
2015-01-06 46.095 47.23 46.095 47.23 0 47.23
2015-01-07 45.99 45.99 45.99 45.99 0 45.99
2015-01-08 46.515 46.515 46.515 46.515 0 46.515
2015-01-09 46.145 46.145 46.145 46.145 0 46.145
2015-01-12 46.335 46.335 46.335 46.335 0 46.335
2015-01-13 47.19 47.19 47.19 47.19 0 47.19
2015-01-14 47.325 47.325 47.325 47.325 0 47.325
2015-01-15 48.3 48.3 48.3 48.3 0 48.3
2015-01-16 48.65 48.65 48.65 48.65 0 48.65
2015-01-19 49.5 49.5 49.5 49.5 0 49.5
2015-01-20 49.7 49.7 49.7 49.7 0 49.7
2015-01-21 50.04 50.04 50.04 50.04 0 50.04
2015-01-22 49.42 49.42 49.42 49.42 0 49.42
2015-01-23 50.77 50.77 50.77 50.77 0 50.77
2015-01-26 50.73 50.73 50.73 50.73 0 50.73
2015-01-27 51.29 51.29 51.29 51.29 0 51.29
2015-01-28 50.61 50.61 50.61 50.61 0 50.61
2015-01-29 50.62 50.62 50.62 50.62 0 50.62
2015-01-30 50.21 50.21 50.21 50.21 0 50.21
2015-02-02 51.05 51.05 51.05 51.05 0 51.05
2015-02-03 51.18 51.18 51.18 51.18 0 51.18
2015-02-04 51.47 51.47 51.47 51.47 0 51.47
2015-02-05 51.71 51.71 51.71 51.71 0 51.71
2015-02-06 51.73 51.73 51.73 51.73 0 51.73
2015-02-09 51.48 51.48 51.48 51.48 0 51.48
2015-02-10 51.67 51.67 51.67 51.67 0 51.67
2015-02-11 50.45 50.45 50.45 50.45 0 50.45
2015-02-12 51.75 51.75 51.75 51.75 0 51.75
2015-02-13 51.75 52.43 51.75 52.43 0 52.43
2015-02-16 51.8 51.8 51.8 51.8 0 51.8
2015-02-17 52.53 52.53 52.53 52.53 0 52.53
2015-02-18 52.8 52.8 52.8 52.8 0 52.8
2015-02-19 53.19 53.19 53.19 53.19 0 53.19
2015-02-20 53.6 53.6 53.6 53.6 0 53.6
2015-02-23 53.74 53.74 53.74 53.74 0 53.74
2015-02-24 54.17 54.17 54.17 54.17 0 54.17
2015-02-25 54.07 54.07 54.07 54.07 0 54.07
2015-02-26 54.53 54.53 54.53 54.53 0 54.53
2015-02-27 55.24 55.24 55.24 55.24 0 55.24
2015-03-02 55.33 55.33 55.33 55.33 0 55.33
2015-03-03 55.1 55.1 55.1 55.1 0 55.1
2015-03-04 54.92 54.92 54.92 54.92 0 54.92
2015-03-05 55.79 55.79 55.79 55.79 0 55.79
2015-03-06 56.94 56.94 56.94 56.94 0 56.94
2015-03-09 57.46 57.46 57.46 57.46 0 57.46
2015-03-10 56.58 56.58 56.58 56.58 0 56.58
2015-03-11 57.46 57.46 57.46 57.46 0 57.46
2015-03-12 58.7 58.7 58.7 58.7 0 58.7
2015-03-13 59.12 59.12 59.12 59.12 0 59.12
2015-03-16 59.56 59.56 59.56 59.56 0 59.56
2015-03-17 60.04 60.04 60.04 60.04 0 60.04
2015-03-18 60.75 60.75 60.75 60.75 0 60.75
2015-03-19 60.64 60.64 60.64 60.64 0 60.64
2015-03-20 62.66 62.66 62.66 62.66 0 62.66
2015-03-23 62.92 62.92 62.92 62.92 0 62.92
2015-03-24 62.28 62.28 62.28 62.28 0 62.28
2015-03-25 62.46 62.46 62.46 62.46 0 62.46
2015-03-26 62.12 62.12 62.12 62.12 0 62.12
2015-03-27 62.03 62.03 62.03 62.03 0 62.03
2015-03-30 61.91 61.91 61.91 61.91 0 61.91
2015-03-31 61.58 61.58 61.58 61.58 0 61.58
2015-04-01 61.09 61.09 61.09 61.09 0 61.09
2015-04-02 61.94 61.94 61.94 61.94 0 61.94
